state,primary_forest_loss_ha_2024
Sarawak,31948
Pahang,9131
Sabah,7798
Kelantan,7576
Terengganu,3651
Perak,2962
Kedah,1118
Johor,757
Selangor,197
Negeri Sembilan,83
Pulau Pinang,10
Melaka,6
Perlis,1
