state,year,primary_loss_ha
Sarawak,2006,66064
Sarawak,2007,97006
Sarawak,2008,89454
Sarawak,2009,168530
Sarawak,2010,76615
Sarawak,2011,109093
Sarawak,2012,158433
Sarawak,2013,66052
Sarawak,2014,135508
Sarawak,2015,86536
Sarawak,2016,96702
Sarawak,2017,81343
Sarawak,2018,76470
Sarawak,2019,58949
Sarawak,2020,32633
Sarawak,2021,30945
Sarawak,2022,33759
Sarawak,2023,36616
Sarawak,2024,31189
Sarawak,2025,31948
Selangor,2002,493
Selangor,2003,330
Selangor,2004,698
Selangor,2005,1281
Selangor,2006,277
Selangor,2007,568
Selangor,2008,809
Selangor,2009,1119
Selangor,2010,329
Selangor,2011,188
Selangor,2012,564
Selangor,2013,290
Selangor,2014,2678
Selangor,2015,272
Selangor,2016,481
Selangor,2017,369
Selangor,2018,223
Selangor,2019,317
Selangor,2020,168
Selangor,2021,398
Selangor,2022,175
Selangor,2023,142
Selangor,2024,157
Selangor,2025,197
Terengganu,2002,1752
Terengganu,2003,1843
Terengganu,2004,4338
Terengganu,2005,2647
Terengganu,2006,1712
Terengganu,2007,2359
Terengganu,2008,2485
Terengganu,2009,2693
Terengganu,2010,4950
Terengganu,2011,3801
Terengganu,2012,5958
Terengganu,2013,3679
Terengganu,2014,5034
Terengganu,2015,3890
Terengganu,2016,5565
Terengganu,2017,5299
Terengganu,2018,4765
Terengganu,2019,4219
Terengganu,2020,1712
Terengganu,2021,1953
Terengganu,2022,3492
Terengganu,2023,3905
Terengganu,2024,4798
Terengganu,2025,3651
